Alabama|AL
Alaska|AK
Arizona|AZ
Arkansas|AR
American Samoa|AS
California|CA
Colorado|CO
Connecticut|CT
Delaware|DE
the District of Columbia|DC
District of Columbia|DC
Fed. States of Micronesia|FM
Florida|FL
Georgia|GA
Guam|GU
Hawaii|HI
Idaho|ID
Illinois|IL
Indiana|IN
Iowa|IA
Kansas|KS
Kentucky|KY
Louisiana|LA
Maine|ME
Maryland|MD
Marshall Islands|MH
Massachusetts|MA
Michigan|MI
Minnesota|MN
Mississippi|MS
Missouri|MO
Montana|MT
Nebraska|NE
Nevada|NV
New Hampshire|NH
New Jersey|NJ
New Mexico|NM
New York|NY
North Carolina|NC
North Dakota|ND
Northern Marianas|MP
Ohio|OH
Oklahoma|OK
Oregon|OR
Pennsylvania|PA
Puerto Rico|PR
Rhode Island|RI
South Carolina|SC
South Dakota|SD
Tennessee|TN
Texas|TX
Utah|UT
Vermont|VT
Virginia|VA
(U.S.) Virgin Islands|VI
Virgin Islands|VI
the Virgin Islands of the United States|VI
Washington|WA
West Virginia|WV
Wisconsin|WI
Wyoming|WY
Armed Forces, the Americas|AA
Armed Forces, Europe|AE
Armed Forces, Pacific|AP
